500, 360
620, 360
750, 360
885, 360
1015, 360
1140, 360
1270, 360
1400, 360
1520, 360
430, 390
565, 390
675, 390
820, 390
955, 390
1070, 390
1195, 390
1340, 390
1465, 390
1590, 390
370, 420
500, 420
620, 420
750, 420
885, 420
1015, 420
1140, 420
1270, 420
1400, 420
1520, 420
430, 450
565, 450
675, 450
820, 450
955, 450
1070, 450
1195, 450
1340, 450
1465, 450
1590, 450
370, 485
500, 485
620, 485
750, 485
885, 485
1015, 485
1140, 485
1270, 485
1400, 485
1520, 485
430, 520
565, 520
675, 520
820, 520
955, 520
1070, 520
1195, 520
1340, 520
1465, 520
1590, 520
370, 550
500, 550
620, 550
750, 550
885, 550
1015, 550
1140, 550
1270, 550
1400, 550
1520, 550
430, 585
565, 585
675, 585
820, 585
955, 585
1070, 585
1195, 585
1340, 585
1465, 585
1590, 585
370, 620
500, 620
620, 620
750, 620
885, 620
1015, 620
1140, 620
1270, 620
1400, 620
1520, 620
430, 650
565, 650
675, 650
820, 650
955, 650
1070, 650
1195, 650
1340, 650
1465, 650
1590, 650
370, 680
500, 680
620, 680
750, 680
885, 680
1015, 680
1140, 680
1270, 680
1400, 680
1520, 680
430, 710
565, 710
675, 710
820, 710
955, 710
1070, 710
1195, 710
1340, 710
1465, 710
1590, 710
370, 740
500, 740
620, 740
750, 740
885, 740
1015, 740
1140, 740
1270, 740
1400, 740
1520, 740
430, 775
565, 775
675, 775
820, 775
955, 775
1070, 775
1195, 775
1340, 775
1465, 775
1590, 775
370, 805
500, 805
620, 805
750, 805
885, 805
1015, 805
1140, 805
1270, 805
1400, 805
1520, 805
430, 840
565, 840
675, 840
820, 840
955, 840
1070, 840
1195, 840
1340, 840
1465, 840
1590, 840
370, 870
500, 870
620, 870
750, 870
885, 870
1015, 870
1140, 870
1270, 870
1400, 870
1520, 870
430, 905
565, 905
675, 905
820, 905
955, 905
1070, 905
1195, 905
1340, 905
1465, 905
1590, 905
370, 940
500, 940
620, 940
750, 940
885, 940
1015, 940
1140, 940
1270, 940
1400, 940
1520, 940
